USER 'testt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-26T22:44:54.948516600Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'test' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-26T22:50:24.251638900Z[UTC] | ATTEMPT SUCCESSFUL: true
USER 'testtt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-26T22:50:33.934685800Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'testtt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-26T22:50:50.850376300Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'testttasdf' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-26T22:50:53.444875200Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'testtt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T21:12:05.948888800Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'testt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:07:49.660865300Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'testt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:20:22.007301100Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'test' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:20:38.911279900Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'test' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:44:16.708161600Z[UTC] | ATTEMPT SUCCESSFUL: true
USER 'test' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:45:52.818441300Z[UTC] | ATTEMPT SUCCESSFUL: true
USER 'testt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:46:06.717194800Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'testt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:46:26.960758100Z[UTC] | ATTEMPT SUCCESSFUL: false
USER 'testt' ATTEMPTED TO LOGIN | TIME OF ATTEMPT: 2022-11-28T22:47:16.662166100Z[UTC] | ATTEMPT SUCCESSFUL: false
